ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
1353779-20160916,2477660,12322,5,"JONES LANG LASALLE AMERICAS, INC.",JONES LANG LASALLE AMERICAS INC.,633 N ST CLAIR ST 24TH,CHICAGO,IL,60611,42,41,42-41,18,1010,Limited Business License,,,1353779,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.89347536,-87.62257467,"(41.89347535770077, -87.6225746735784)"
1575898-20160516,2455190,287280,1,C & J INDUSTRIES,C & J INDUSTRIES,21850  SUNSET LN,CHICAGO HEIGHTS,IL,60411,,,,,1010,Limited Business License,,,1575898,RENEW,,3/15/2016,3/28/2016,N,5/16/2016,5/15/2018,3/28/2016,3/29/2016,AAI,,,,,
2364372-20160831,2364372,385349,1,"LACUNA ENTERTAINMENT, LLC",LACUNA ENTERTAINMENT,2150 S CANALPORT AVE 1 AND 5,CHICAGO,IL,60608,25,23,25-23,12,1050,Public Place of Amusement,746,"Public Place of Amusement, Provides Entertainment, Room Rentals and Charges a Fee",2364372,ISSUE,11/13/2014,3/13/2015,3/13/2015,N,8/31/2016,9/15/2018,8/31/2016,8/31/2016,AAI,,,41.85330146,-87.6499297,"(41.8533014640748, -87.649929695282)"
1649903-20160916,2477662,12322,17,"JONES LANG LASALLE AMERICAS, INC.",JONES LANG LASALLE AMERICAS INC,71 S WACKER DR,CHICAGO,IL,60606,42,12,42-12,1,1010,Limited Business License,,,1649903,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88071758,-87.63658911,"(41.880717575265145, -87.63658910737162)"
2320122-20160416,2451030,389148,1,MARIJA C. COMARLA,EDISON PARK JEWELERS,6714 N NORTHWEST HWY 1ST,CHICAGO,IL,60631,41,5,41-5,16,1010,Limited Business License,923,Retail Sales of Jewelry and Jewelry Repair,2320122,RENEW,,2/15/2016,4/15/2016,N,4/16/2016,4/15/2018,4/15/2016,8/31/2016,AAI,,,42.00301997,-87.81676221,"(42.00301996764388, -87.81676220604855)"
2059528-20160916,2478938,219897,3,"Cogent Communications, Inc.",Cogent Communication Inc,216 W JACKSON BLVD 10TH FLOOR 1040,CHICAGO,IL,60606,42,,42-,,1010,Limited Business License,,,2059528,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.87822324,-87.63424738,"(41.878223241518086, -87.63424737951088)"
51913-20161016,2484876,38116,1,TAMMY WILLIAMS,BEAUTY BEYOND SALON,1025 E 95TH ST 1ST,CHICAGO,IL,60619,8,66,Aug-66,5,1010,Limited Business License,894,Hair Services,51913,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,51,41.72203185,-87.59848428,"(41.7220318540961, -87.5984842831977)"
2483626-20160831,2483626,408792,1,ANTHONY DEMERITTE JR,ESSENCE SALON,1338 W 87TH ST GROUND,CHICAGO,IL,60620,21,68,21-68,6,1010,Limited Business License,894,Hair Services,2483626,ISSUE,8/3/2016,8/3/2016,8/3/2016,N,8/31/2016,8/15/2018,8/3/2016,8/4/2016,AAI,,,41.73598341,-87.65736423,"(41.73598340754569, -87.65736422959677)"
22308-20160816,2471700,29481,1,BELL OIL TERMINAL INC,Bell Oil Terminal LLC,3741 S PULASKI RD  1,CHICAGO,IL,60623,14,,14-,8,1010,Limited Business License,,,22308,RENEW,,6/15/2016,8/30/2016,N,8/16/2016,8/15/2018,8/30/2016,8/31/2016,AAI,,,41.82531993,-87.72396,"(41.82531992987547, -87.72395999659746)"
1095585-20160916,2478879,207412,6,BUCK MANAGEMENT GROUP LLC,BUCK MANAGEMENT GROUP LLC,142 E ONTARIO ST  550,CHICAGO,IL,60611,42,53,42-53,18,1010,Limited Business License,,,1095585,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.89345042,-87.62385391,"(41.893450416323674, -87.62385390964229)"
2177466-20160916,2481880,373032,1,"77 West Wacker Drive, L.L.C.","77 West Wacker Drive, L.L.C.",77 W WACKER DR 40 4050,CHICAGO,IL,60601,42,9,42-9,1,1002,Accessory Garage,726,"Provide Parking Spaces For a Fee - to Residents, Tenants, Users, Employees and/or Guests (Not Available or Advertised to the Public)",2177466,RENEW,,7/15/2016,8/29/2016,N,9/16/2016,9/15/2018,8/29/2016,8/30/2016,AAI,,,41.88670774,-87.63079458,"(41.88670773797291, -87.6307945777937)"
64070-20160816,2471869,42664,1,LAVILLITA CLEANERS & TAILOR,LAVILLITA CLEANERS & TAILORS,3310 W 26TH ST  1,CHICAGO,IL,60623,12,1,1-Dec,10,1010,Limited Business License,648,Dry Cleaning - Drop Off Location,64070,RENEW,,6/15/2016,8/15/2016,N,8/16/2016,8/15/2018,8/15/2016,8/31/2016,AAI,,25,41.84458525,-87.7079933,"(41.84458525388989, -87.70799330106452)"
2437146-20160916,2477690,12322,57,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc",200 W JACKSON BLVD 13 1300,CHICAGO,IL,60606,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2437146,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.8782277,-87.63380479,"(41.878227703089095, -87.63380478677512)"
2049401-20161016,2486397,355582,1,"Artstock, I nc",Artist & Craftsman Supply,828 S WABASH AVE 1,CHICAGO,IL,60605,4,,4-,,1010,Limited Business License,,,2049401,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.8714442,-87.62607513,"(41.87144419630491, -87.62607513030089)"
2354178-20161016,2486994,392937,1,"ACRO CATS, LLC",AMAZING ANIMALS BY SAMANTHA,3555 N MILWAUKEE AVE 1ST,CHICAGO,IL,60641,30,13,30-13,17,1032,Animal Care License,610,Animal Exhibition (30 Days or More),2354178,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.94538582,-87.73394213,"(41.945385823999025, -87.73394213198259)"
2488388-20160831,2488388,409629,1,ADRIANA FERRUZCA,ADRIANA FERRUZCA,4209 S CAMPBELL AVE,CHICAGO,IL,60632,15,14,15-14,9,4406,Peddler License,769,"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2488388,ISSUE,8/31/2016,8/31/2016,8/31/2016,N,8/31/2016,9/15/2018,,8/31/2016,AAI,,,41.81717799,-87.68700632,"(41.81717799356854, -87.68700631757723)"
2469466-20160831,2469466,406769,1,HUAMAO RESTAURANT INC.,HUAMAO RESTAURANT INC.,1453 W TAYLOR ST 1ST,CHICAGO,IL,60607,28,38,28-38,12,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2469466,ISSUE,5/23/2016,6/21/2016,6/27/2016,N,8/31/2016,9/15/2018,8/31/2016,8/31/2016,AAI,,,41.86919502,-87.66378097,"(41.86919501552379, -87.66378096814225)"
1798746-20160916,2477663,12322,19,"JONES LANG LASALLE AMERICAS, INC.",JONES LANG LASALLE AMERICAS INC,233 N MICHIGAN AVE,CHICAGO,IL,60601,42,44,42-44,1,1010,Limited Business License,,,1798746,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88656737,-87.62438467,"(41.886567370886944, -87.62438467059714)"
2206583-20170116,2499322,281021,1,CHICAGO WATER CONNECTION,CHICAGO WATER CONNECTION,1914 N LECLAIRE AVE,CHICAGO,IL,60639,36,47,36-47,25,4404,Regulated Business License,673,Home Repair Services,2206583,RENEW,,11/15/2016,1/15/2017,N,1/16/2017,1/15/2019,1/15/2017,1/17/2017,AAI,,,41.91548724,-87.75301232,"(41.915487240332126, -87.75301232003028)"
23382-20170116,2498097,29722,1,IDEAL DENTAL LAB,IDEAL DENTAL LAB,6212 W GRAND AVE 1ST,CHICAGO,IL,60639,36,6,36-6,25,1010,Limited Business License,,,23382,RENEW,,11/15/2016,1/16/2017,N,1/16/2017,1/15/2019,1/16/2017,1/17/2017,AAI,,,41.92167131,-87.78103836,"(41.921671312306444, -87.7810383618699)"
1953514-20170116,2498309,60029,3,RAUL ROBLES,A & R SHOES,3278 W ARMITAGE AVE 1,CHICAGO,IL,60647,26,14,26-14,14,1010,Limited Business License,911,Retail Sales of Clothing / Accessories / Shoes,1953514,RENEW,,11/15/2016,1/14/2017,N,1/16/2017,1/15/2019,1/14/2017,1/17/2017,AAI,,,41.917471,-87.71021105,"(41.9174709975593, -87.71021105089828)"
1797796-20160916,2480219,312826,1,ROTI 10 SOUTH RIVERSIDE LLC,ROTI,10 S RIVERSIDE PLZ 1 141,CHICAGO,IL,60606,42,12,42-12,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1797796,RENEW,,7/15/2016,9/1/2016,N,9/16/2016,9/15/2018,9/1/2016,9/1/2016,AAI,,,41.88166429,-87.63888744,"(41.881664289382925, -87.63888744408949)"
2458480-20160901,2458480,405299,1,"RYUU GROUP, LLC",RYUU ASIAN BBQ,2766 N MILWAUKEE AVE 1ST,CHICAGO,IL,60647,35,28,35-28,14,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2458480,ISSUE,4/7/2016,6/27/2016,6/24/2016,Y,9/1/2016,9/15/2018,9/1/2016,9/1/2016,AAI,,,41.93137064,-87.71141818,"(41.93137063973293, -87.71141818329198)"
2488359-20160901,2488359,409578,1,CORDELIA WILLIAMS AND STEPHANIE SLIWA,THE CUP HOUSE,1919 W IRVING PARK RD 1,CHICAGO,IL,60613,47,29,47-29,19,1010,Limited Business License,709,Miscellaneous Personal Services,2488359,ISSUE,8/31/2016,9/1/2016,9/1/2016,N,9/1/2016,9/15/2018,9/1/2016,9/1/2016,AAI,,38,41.95406817,-87.67712483,"(41.954068168223465, -87.67712482462764)"
2487505-20160901,2487505,271911,11,IPSA CORPORATION,Marta Wojcik,1166 W GRAND AVE,CHICAGO,IL,60642,27,53,27-53,12,4404,Regulated Business License,654,Employee of Expediter Service,2487505,ISSUE,8/16/2016,8/17/2016,8/18/2016,N,9/1/2016,11/15/2018,9/1/2016,9/1/2016,AAI,,,41.891191,-87.6573085,"(41.89119100001117, -87.65730850431937)"
2206543-20161016,2485558,279187,2,JOHN B HENAO,NIGHT SHIFT COMMUNICATOR'S NETWORK,1144 W PRATT BLVD 3RD 3S,CHICAGO,IL,60626,49,29,49-29,24,4404,Regulated Business License,724,Other Home Occupations,2206543,RENEW,,8/15/2016,8/31/2016,N,10/16/2016,10/15/2018,8/31/2016,9/1/2016,AAI,,54,42.00565805,-87.66031658,"(42.00565804815456, -87.6603165813698)"
2124758-20160916,2479909,302109,2,THE PLACERS LTD,RANDSTAD USA,1 N FRANKLIN ST  650,CHICAGO,IL,60606,42,9,42-9,1,1010,Limited Business License,,,2124758,RENEW,,7/15/2016,8/31/2016,N,9/16/2016,9/15/2018,8/31/2016,9/1/2016,AAI,,,41.88196747,-87.63516544,"(41.881967467024346, -87.6351654428475)"
1985041-20160916,2481191,345520,1,"ROTI 300 WEST ADAMS, LLC",ROTI MEDITERRANEAN GRILL,310 W ADAMS ST 1ST,CHICAGO,IL,60606,42,12,42-12,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1985041,RENEW,,7/15/2016,9/1/2016,N,9/16/2016,9/15/2018,9/1/2016,9/1/2016,AAI,,,41.87947562,-87.63558746,"(41.87947562301873, -87.63558745893823)"
1848298-20161016,2485942,322493,1,"SAGE RESTAURANT MANAGER, LLC",BLACKSTONE HOTEL,636-638 S MICHIGAN AVE,CHICAGO,IL,60605,42,49,42-49,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1848298,RENEW,,8/15/2016,8/31/2016,N,10/16/2016,10/15/2018,8/31/2016,9/1/2016,AAI,,,41.87365926,-87.6243595,"(41.873659257025864, -87.62435949812338)"
1488033-20160916,2478722,201592,2,"THE CAMBRIDGE GROUP, INC",THE CAMBRIDGE GROUP,227 W MONROE ST  32,CHICAGO,IL,60606,42,49,42-49,1,1010,Limited Business License,,,1488033,RENEW,,7/15/2016,8/31/2016,N,9/16/2016,9/15/2018,8/31/2016,9/1/2016,AAI,,,41.88053925,-87.63459246,"(41.88053924995021, -87.63459246351388)"
2215250-20161016,2486554,357195,1,"ZANDERRAE, LLC",LEFTY' S AUTOMOTIVE,5628 - 5632 N ELSTON AVE 1ST,CHICAGO,IL,60646,45,30,45-30,16,8340,Motor Vehicle Services License,712,Motor Vehicle Repair - Engine and Transmission Work,2215250,RENEW,,8/15/2016,8/31/2016,N,10/16/2016,10/15/2018,8/31/2016,9/1/2016,AAI,,,41.98354126,-87.76574101,"(41.98354126020054, -87.76574100678434)"
2458576-20160901,2458576,405335,1,MARTHA M GARCIA-HERNANDEZ,EL TACO AZTECA,2151 W CERMAK RD 1ST,CHICAGO,IL,60608,25,20,25-20,10,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2458576,ISSUE,4/11/2016,8/5/2016,8/16/2016,N,9/1/2016,9/15/2018,8/31/2016,9/1/2016,AAI,,,41.8519948,-87.68031325,"(41.85199480423206, -87.68031324904591)"
16730-20160916,2478078,28126,1,EXCHANGE BUILDING CORPORATION,EXCHANGE BUILDING CORPORATION,222 N LA SALLE ST  1000,CHICAGO,IL,60601,42,9,42-9,1,1010,Limited Business License,897,Financial Services,16730,RENEW,,7/15/2016,8/31/2016,N,9/16/2016,9/15/2018,8/31/2016,9/1/2016,AAI,,,41.8863516,-87.63261395,"(41.886351604488574, -87.63261394551859)"
73820-20160516,2453696,22134,2,GARAVENTA USA INC,GARAVENTA USA INC,225  DEPOT ST 1ST,ANTIOCH,IL,60002,,,,,1010,Limited Business License,,,73820,RENEW,,3/15/2016,3/29/2016,N,5/16/2016,5/15/2018,3/29/2016,3/30/2016,AAI,,,,,
15542-20161016,2484474,6718,1,SAM'S CUT RATE FOOD & LIQ INC,SAM'S CUT RATE FOOD & LIQ INC,500 E 75TH ST 1ST,CHICAGO,IL,60619,6,55,Jun-55,3,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,15542,RENEW,,8/15/2016,8/31/2016,N,10/16/2016,10/15/2018,8/31/2016,9/1/2016,AAI,,51,41.75856343,-87.61261787,"(41.75856343283516, -87.61261787353384)"
1969803-20161016,2486191,343198,1,67TH WENTWORTH FOODS INC.,67TH WENTWORTH SHELL,6659 S WENTWORTH AVE 1,CHICAGO,IL,60621,6,18,18-Jun,7,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1969803,RENEW,,8/15/2016,8/31/2016,N,10/16/2016,10/15/2018,8/31/2016,9/1/2016,AAI,,,41.77280932,-87.62981979,"(41.77280931811419, -87.62981978726347)"
42149-20161016,2485125,85586,1,SHEDD AQUARIUM SOCIETY,SHEDD AQUARIUM SOCIETY,1200 S LAKE SHORE DR,CHICAGO,IL,60605,4,,4-,1,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,42149,RENEW,,8/15/2016,8/31/2016,N,10/16/2016,10/15/2018,8/31/2016,9/1/2016,AAI,,,41.86748423,-87.61915038,"(41.867484227164155, -87.61915038338188)"
2078673-20160916,2480476,316280,2,THOMSON REUTERS (MARKETS) LLC.,Thomson Reuters( Markets) LLC.,311 S WACKER DR 12,CHICAGO,IL,60606,42,12,42-12,1,1010,Limited Business License,,,2078673,RENEW,,7/15/2016,8/31/2016,N,9/16/2016,9/15/2018,8/31/2016,9/1/2016,AAI,,,41.87779165,-87.63652434,"(41.877791648104406, -87.63652434443534)"
1093175-20160916,2478848,207065,1,LIAM VENTURES INC,LIAM VENTURES INC,233 S WACKER DR  2150,CHICAGO,IL,60606,42,12,42-12,1,1010,Limited Business License,897,Financial Services,1093175,RENEW,,7/15/2016,8/31/2016,N,9/16/2016,9/15/2018,8/31/2016,9/1/2016,AAI,,,41.87856015,-87.63652387,"(41.87856015362371, -87.63652387205532)"
2488355-20160901,2488355,409574,1,"OakCrest Capital, LLC","OakCrest Capital, LLC",820 W JACKSON BLVD  805,CHICAGO,IL,60607,27,,27-,,1010,Limited Business License,897,Financial Services,2488355,ISSUE,8/30/2016,8/30/2016,8/31/2016,N,9/1/2016,9/15/2018,8/31/2016,9/1/2016,AAI,,16,41.87804348,-87.64818021,"(41.878043475002826, -87.64818021093538)"
2207886-20161016,2486052,330977,1,LIDIA MARTINEZ,GM LAWNCARE,1926 W TOUHY AVE HSE,CHICAGO,IL,60626,49,8,49-8,24,4404,Regulated Business License,724,Other Home Occupations,2207886,RENEW,,8/15/2016,8/31/2016,N,10/16/2016,10/15/2018,8/31/2016,9/1/2016,AAI,,,42.01266469,-87.67927009,"(42.01266469421548, -87.67927009091571)"
2451791-20160901,2451791,404350,1,CODE PLAY LEARN INC.,CODE PLAY LEARN INC.,1148 W DIVERSEY PKWY 1ST,CHICAGO,IL,60614,44,40,44-40,19,1023,Children's Services Facility License,905,After School Program / Tutoring Children Under 18 Years of Age,2451791,ISSUE,2/25/2016,3/15/2016,3/15/2016,N,9/1/2016,9/15/2018,9/1/2016,9/1/2016,AAI,,,41.93268212,-87.65779203,"(41.9326821228685, -87.65779203303023)"
2009100-20161016,2484606,16091,3,"VSA PARTNERS, INC.","VSA PARTNERS, INC.",600 W CHICAGO AVE 2 250,CHICAGO,IL,60654,27,12,27-12,18,1010,Limited Business License,,,2009100,RENEW,,8/15/2016,8/31/2016,N,10/16/2016,10/15/2018,8/31/2016,9/1/2016,AAI,,,41.89658519,-87.64299618,"(41.896585191199556, -87.64299618172501)"
2059539-20160916,2481624,356524,1,LUCIA MONTOYA,MONTOYA BEAUTY SALON,4105 W FULLERTON AVE 1ST,CHICAGO,IL,60639,35,25,35-25,25,1010,Limited Business License,894,Hair Services,2059539,RENEW,,7/15/2016,8/31/2016,N,9/16/2016,9/15/2018,8/31/2016,9/1/2016,AAI,,,41.92434542,-87.72944913,"(41.92434541453322, -87.72944912763707)"
2363746-20160616,2459588,29302,2,CHICAGO CHILD CARE SOCIETY,CHICAGO CHILD CARE SOCIETY,7000 S PARNELL AVE LOWER LEVEL,CHICAGO,IL,60621,6,40,Jun-40,7,1023,Children's Services Facility License,823,"Supervision of, and Care for, Children 2-6 Years of Age, During the Day Between 6am-9pm",2363746,RENEW,,4/15/2016,6/22/2016,N,6/16/2016,6/15/2018,8/31/2016,9/1/2016,AAI,,,41.76701661,-87.63854661,"(41.76701660630913, -87.63854660567023)"
44096-20160416,2448043,35329,1,"E.C. BABILLA, INC.","E C BABILLA, INC.",3974  HARRISON ST  1ST,GARY,IN,46409,,,,,1010,Limited Business License,,,44096,RENEW,,2/15/2016,3/28/2016,N,4/16/2016,4/15/2018,3/28/2016,3/29/2016,AAI,,,,,
1928078-20160916,2478194,37227,2,"BENSINGER, DUPONT & ASSOCIATES, INC.","BENSINGER, DUPONT & ASSOCIATES, INC.",134 N LA SALLE ST 22 2200,CHICAGO,IL,60602,42,9,42-9,1,1010,Limited Business License,,,1928078,RENEW,,7/15/2016,8/31/2016,N,9/16/2016,9/15/2018,8/31/2016,9/1/2016,AAI,,,41.88411127,-87.63257639,"(41.88411126733353, -87.63257638523856)"
2008916-20161016,2484493,7318,2,CHECKERBOARD PRODUCTIONS INC,BUDDY GUY'S LEGENDS,700 S WABASH AVE 1 & 2,CHICAGO,IL,60605,4,18,18-Apr,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2008916,RENEW,,8/15/2016,8/31/2016,N,10/16/2016,10/15/2018,8/31/2016,9/1/2016,AAI,,,41.87305962,-87.62611159,"(41.87305961703914, -87.62611158755108)"
1848301-20161016,2485945,322493,1,"SAGE RESTAURANT MANAGER, LLC",BLACKSTONE HOTEL,636-638 S MICHIGAN AVE,CHICAGO,IL,60605,42,49,42-49,1,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1848301,RENEW,,8/15/2016,8/31/2016,N,10/16/2016,10/15/2018,8/31/2016,9/1/2016,AAI,,,41.87365926,-87.6243595,"(41.873659257025864, -87.62435949812338)"
1848307-20161016,2485944,322493,1,"SAGE RESTAURANT MANAGER, LLC",BLACKSTONE HOTEL,636-638 S MICHIGAN AVE,CHICAGO,IL,60605,42,49,42-49,1,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1848307,RENEW,,8/15/2016,8/31/2016,N,10/16/2016,10/15/2018,8/31/2016,9/1/2016,AAI,,,41.87365926,-87.6243595,"(41.873659257025864, -87.62435949812338)"
2183699-20160916,2480477,316280,3,THOMSON REUTERS (MARKETS) LLC.,Thomson Reuters (Markets) LLC.,230 S LA SALLE ST 8TH,CHICAGO,IL,60604,42,,42-,,1010,Limited Business License,,,2183699,RENEW,,7/15/2016,8/31/2016,N,9/16/2016,9/15/2018,8/31/2016,9/1/2016,AAI,,,41.87853829,-87.63241426,"(41.878538291685196, -87.63241426118783)"
1245064-20160316,2443766,23154,3,UNITED CONTRACTING INC,UNITED CONTRACTING,10996  FOUR SEASONS PL  100C,CROWN POINT,IN,46307,,,,,1010,Limited Business License,,,1245064,RENEW,,1/15/2016,3/14/2016,N,3/16/2016,3/15/2018,3/14/2016,3/29/2016,AAI,,,,,
1879195-20160916,2479398,264771,2,"CLIMATEMP SERVICE GROUP, L.L.C.","CLIMATEMP SERVICE GROUP, L.L.C.",315 N MAY ST 1ST,CHICAGO,IL,60607,27,33,27-33,12,1010,Limited Business License,902,"Heating, Ventilation and Air Conditioning Services - Commercial",1879195,RENEW,,7/15/2016,8/31/2016,N,9/16/2016,9/15/2018,8/31/2016,9/1/2016,AAI,,,41.8872028,-87.65554026,"(41.88720279845094, -87.6555402642378)"
2013878-20160516,2455916,349984,1,CHIRO ONE WELLNESS CENTER METRO OF RIVER NORTH LLC,CHIRO ONE WELLNESS CENTER METRO OF RIVER NORTH LLC,712 N STATE ST 1,CHICAGO,IL,60654,2,56,Feb-56,18,1010,Limited Business License,,,2013878,RENEW,,3/15/2016,4/22/2016,N,5/16/2016,5/15/2018,4/22/2016,9/1/2016,AAI,,,41.89534729,-87.62831188,"(41.89534729317278, -87.62831187605755)"
25177-20160216,2438886,30231,1,FULL LINE PRINTING INC,FULL LINE PRINTING INC,361 W CHICAGO AVE 1ST,CHICAGO,IL,60610,42,68,42-68,18,1010,Limited Business License,,,25177,RENEW,,12/15/2015,5/31/2016,N,2/16/2016,2/15/2018,5/31/2016,9/1/2016,AAI,,,41.8964289,-87.63811256,"(41.896428903221306, -87.63811256134225)"
2142297-20160316,2445492,370339,1,MAXX PAVING & CONCRETE INC.,MAXX PAVING & CONCRETE INC.,2328 S CENTRAL AVE,CICERO,IL,60804,,,,,1010,Limited Business License,,,2142297,RENEW,,1/15/2016,3/28/2016,N,3/16/2016,3/15/2018,3/28/2016,3/29/2016,AAI,,,,,
2359298-20161016,2487249,393774,1,"TEN TWENTYEIGHT, INC.",MOLLY MAID OF THE GOLD COAST AND NEAR NORTH,2045 W GRAND AVE 2ND 204,CHICAGO,IL,60612,26,35,26-35,12,1010,Limited Business License,602 | 753,Administrative Commercial Office | Residential Cleaning Services,2359298,RENEW,,8/15/2016,8/31/2016,N,10/16/2016,10/15/2018,8/31/2016,9/1/2016,AAI,,,41.89068413,-87.67869577,"(41.89068412851692, -87.6786957703882)"
1869258-20160916,2477532,6080,2,"DAMENZO'S, INC.",PAPI'S TACOS,2320 W TAYLOR ST 1,CHICAGO,IL,60612,28,4,28-4,12,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1869258,RENEW,,7/15/2016,8/31/2016,N,9/16/2016,9/15/2018,8/31/2016,9/1/2016,AAI,,,41.86910934,-87.68450516,"(41.86910934207788, -87.68450515628372)"
2054775-20160916,2481575,356236,1,"GNB Management, LLC",GNB Management LLC,222 S RIVERSIDE PLZ 34 34,CHICAGO,IL,60606,42,,42-,,1010,Limited Business License,,,2054775,RENEW,,7/15/2016,8/31/2016,N,9/16/2016,9/15/2018,8/31/2016,9/1/2016,AAI,,,41.87858156,-87.63857867,"(41.87858156072147, -87.6385786681057)"
2483059-20160901,2483059,394053,3,"Central Research, Inc.","Central Research, Inc.",106 N BLOOMINGTON   S,LOWELL,AZ,72745,,,,,4404,Regulated Business License,912,Debt Collecting - Administrative Commercial Office,2483059,ISSUE,7/21/2016,8/29/2016,8/31/2016,N,9/1/2016,10/15/2018,8/31/2016,9/1/2016,AAI,,,,,
42150-20161016,2485127,85586,3,SHEDD AQUARIUM SOCIETY,SHEDD AQUARIUM SOCIETY,1200 S LAKE SHORE DR  LEVEL,CHICAGO,IL,60605,4,18,18-Apr,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,42150,RENEW,,8/15/2016,8/31/2016,N,10/16/2016,10/15/2018,8/31/2016,9/1/2016,AAI,,,41.86748423,-87.61915038,"(41.867484227164155, -87.61915038338188)"
2163766-20160416,2448876,264358,1,AUCTION CONSULTANTS INC.,AUCTION CONSULTANTS,326  RIVER BLUFF RD,ELGIN,IL,60120,,,,,1010,Limited Business License,,,2163766,RENEW,,2/15/2016,3/28/2016,N,4/16/2016,4/15/2018,3/28/2016,3/29/2016,AAI,,,,,
1848299-20161016,2485939,322493,1,"SAGE RESTAURANT MANAGER, LLC",BLACKSTONE HOTEL,636-638 S MICHIGAN AVE,CHICAGO,IL,60605,42,49,42-49,1,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1848299,RENEW,,8/15/2016,8/31/2016,N,10/16/2016,10/15/2018,8/31/2016,9/1/2016,AAI,,,41.87365926,-87.6243595,"(41.873659257025864, -87.62435949812338)"
1575420-20161016,2485618,284728,1,ELEVEN CITY DINER LLC,ELEVEN CITY DINER,1112 S WABASH AVE,CHICAGO,IL,60605,4,58,Apr-58,1,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1575420,RENEW,,8/15/2016,8/31/2016,N,10/16/2016,10/15/2018,8/31/2016,9/1/2016,AAI,,,41.86883411,-87.62600895,"(41.868834104881586, -87.62600895041179)"
1441906-20160816,2471594,22768,2,INDIO INC,INDIO COCINA MEXICANA,3930 W 63RD ST,CHICAGO,IL,60629,23,40,23-40,8,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1441906,RENEW,,6/15/2016,8/31/2016,N,8/16/2016,8/15/2018,8/31/2016,9/1/2016,AAI,,3,41.77878424,-87.72157517,"(41.77878423669901, -87.72157517203811)"
1096355-20160816,2472484,57930,12,PRESENCE CHICAGO HOSPITALS NETWORK,PRESENCE RESURRECTION MEDICAL CENTER,7435 W TALCOTT AVE,CHICAGO,IL,60631,41,18,41-18,16,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1096355,RENEW,,6/15/2016,7/27/2016,N,8/16/2016,8/15/2018,7/27/2016,7/28/2016,AAI,,,41.98857518,-87.81297791,"(41.98857518279947, -87.81297791219501)"
